           timestamp  discovered      queued   downloaded       doc/s(avg)  KB/s(avg)   dl-failures   busy-thread   mem-use-KB  heap-size-KB   congestion   max-depth   avg-depth
2024-07-19T14:58:07Z           0           0            0           0(NaN)       0(0)             0             0       134226        258048            0          -1           0
2024-07-19T14:58:07Z CRAWL RUNNING - Preparing
2024-07-19T14:58:07Z           1           1            0             0(0)       0(0)             0             0       164920        258048            ∞           1           1
2024-07-19T14:58:07Z CRAWL PAUSED - Paused
2024-07-19T14:58:07Z CRAWL RUNNING - Running
2024-07-19T14:58:27Z          72          32           40             2(2)     16(16)             0             0       131558        258048            1          17           5
2024-07-19T14:58:47Z          75          19           56         0.8(1.4)     39(27)             0             0       204049        258048            1          14           6
2024-07-19T14:59:07Z          75          10           65       0.45(1.08)      8(21)             0             0       104439        258048            1           7           5
2024-07-19T14:59:27Z          75           3           72        0.35(0.9)      5(17)             0             0       115979        258048            1           3           1
2024-07-19T14:59:47Z          75           3           72          0(0.72)      0(13)             0             0       102992        258048            1           3           3
2024-07-19T15:00:07Z          75           3           72           0(0.6)      0(11)             0             0       150194        258048            1           3           3
2024-07-19T15:00:27Z          75           3           72          0(0.51)       0(9)             0             0       192281        258048            1           3           3
2024-07-19T15:00:47Z          75           3           72          0(0.45)       0(8)             0             0       112358        258048            1           3           3
2024-07-19T15:01:07Z          75           3           72           0(0.4)       0(7)             0             0       142103        258048            1           3           3
2024-07-19T15:01:27Z          75           3           72          0(0.36)       0(6)             0             0       184653        258048            1           3           3
2024-07-19T15:01:47Z          75           3           72          0(0.33)       0(6)             0             0        91580        258048            1           3           3
2024-07-19T15:01:58Z CRAWL WAITING - Pausing - Waiting for threads to finish
2024-07-19T15:01:59Z          75           3           72          0(0.31)       0(5)             0             0       132147        258048            1           3           3
2024-07-19T15:01:59Z CRAWL PAUSED - Paused
2024-07-19T15:02:00Z CRAWL RUNNING - Running
2024-07-19T15:02:07Z          75           3           72           0(0.3)       0(5)             0             0       116217        258048            1           3           3
2024-07-19T15:02:27Z          75           3           72          0(0.28)       0(5)             0             0       189468        258048            1           3           3
2024-07-19T15:02:47Z          75           3           72          0(0.26)       0(4)             0             0       133267        258048            1           3           3
2024-07-19T15:03:07Z          75           3           72          0(0.24)       0(4)             0             0       218322        258048            1           3           3
2024-07-19T15:03:27Z          75           3           72          0(0.23)       0(4)             0             0       154913        258048            1           3           3
2024-07-19T15:03:47Z          75           3           72          0(0.21)       0(4)             0             0       106332        258048            1           3           3
2024-07-19T15:04:07Z          75           3           72           0(0.2)       0(3)             0             0       154084        258048            1           3           3
2024-07-19T15:04:27Z          75           3           72          0(0.19)       0(3)             0             0        90444        258048            1           3           3
2024-07-19T15:04:47Z          75           3           72          0(0.18)       0(3)             0             0       115595        258048            1           3           3
2024-07-19T15:05:07Z          75           3           72          0(0.17)       0(3)             0             0       187832        258048            1           3           3
2024-07-19T15:05:27Z          75           3           72          0(0.16)       0(3)             0             0       102945        258048            1           3           3
2024-07-19T15:05:47Z          75           3           72          0(0.16)       0(3)             0             0       179784        258048            1           3           3
2024-07-19T15:06:07Z          75           3           72          0(0.15)       0(2)             0             0       106643        258048            1           3           3
2024-07-19T15:06:27Z          75           3           72          0(0.14)       0(2)             0             0       160516        258048            1           3           3
2024-07-19T15:06:47Z          75           3           72          0(0.14)       0(2)             0             0        94043        258048            1           3           3
2024-07-19T15:07:07Z          75           3           72          0(0.13)       0(2)             0             0       171913        258048            1           3           3
2024-07-19T15:07:27Z          75           3           72          0(0.13)       0(2)             0             0        85422        258048            1           3           3
2024-07-19T15:07:47Z          75           3           72          0(0.12)       0(2)             0             0       163893        258048            1           3           3
2024-07-19T15:08:07Z          75           3           72          0(0.12)       0(2)             0             0       204383        258048            1           3           3
2024-07-19T15:08:27Z          75           3           72          0(0.12)       0(2)             0             0       135799        258048            1           3           3
2024-07-19T15:08:47Z          75           3           72          0(0.11)       0(2)             0             0       207026        258048            1           3           3
2024-07-19T15:09:07Z          75           3           72          0(0.11)       0(2)             0             0       135944        258048            1           3           3
2024-07-19T15:09:27Z          75           3           72          0(0.11)       0(2)             0             0       192324        258048            1           3           3
2024-07-19T15:09:47Z          75           3           72           0(0.1)       0(1)             0             0       123301        258048            1           3           3
2024-07-19T15:10:07Z          75           3           72           0(0.1)       0(1)             0             0       162778        258048            1           3           3
2024-07-19T15:10:27Z          75           3           72           0(0.1)       0(1)             0             0       220197        258048            1           3           3
2024-07-19T15:10:47Z          75           3           72          0(0.09)       0(1)             0             0       117365        258048            1           3           3
2024-07-19T15:11:07Z          75           3           72          0(0.09)       0(1)             0             0       168620        258048            1           3           3
2024-07-19T15:11:27Z          75           3           72          0(0.09)       0(1)             0             0       203524        258048            1           3           3
2024-07-19T15:11:47Z          75           3           72          0(0.09)       0(1)             0             0       129449        258048            1           3           3
2024-07-19T15:12:07Z          75           3           72          0(0.09)       0(1)             0             0       159079        258048            1           3           3
2024-07-19T15:12:27Z          75           3           72          0(0.08)       0(1)             0             0       201723        258048            1           3           3
2024-07-19T15:12:47Z          75           3           72          0(0.08)       0(1)             0             0       111685        258048            1           3           3
2024-07-19T15:13:07Z          75           3           72          0(0.08)       0(1)             0             0       162403        258048            1           3           3
2024-07-19T15:13:27Z          75           3           72          0(0.08)       0(1)             0             0       213726        258048            1           3           3
2024-07-19T15:13:47Z          75           3           72          0(0.08)       0(1)             0             0       139230        258048            1           3           3
2024-07-19T15:14:07Z          75           3           72          0(0.08)       0(1)             0             0       152661        258048            1           3           3
2024-07-19T15:14:27Z          75           3           72          0(0.07)       0(1)             0             0       154679        258048            1           3           3
2024-07-19T15:14:47Z          75           3           72          0(0.07)       0(1)             0             0       182557        258048            1           3           3
2024-07-19T15:15:07Z          75           3           72          0(0.07)       0(1)             0             0       215987        258048            1           3           3
2024-07-19T15:15:27Z          75           3           72          0(0.07)       0(1)             0             0       190455        258048            1           3           3
2024-07-19T15:15:47Z          75           3           72          0(0.07)       0(1)             0             0       177273        258048            1           3           3
2024-07-19T15:16:07Z          75           3           72          0(0.07)       0(1)             0             0       199417        258048            1           3           3
2024-07-19T15:16:27Z          75           3           72          0(0.07)       0(1)             0             0       163136        258048            1           3           3
2024-07-19T15:16:47Z          75           3           72          0(0.06)       0(1)             0             0       201483        258048            1           3           3
2024-07-19T15:17:07Z          75           3           72          0(0.06)       0(1)             0             0       189235        258048            1           3           3
2024-07-19T15:17:27Z          75           3           72          0(0.06)       0(1)             0             0       192673        258048            1           3           3
2024-07-19T15:17:47Z          75           3           72          0(0.06)       0(1)             0             0       183022        258048            1           3           3
2024-07-19T15:18:07Z          75           3           72          0(0.06)       0(1)             0             0       154963        258048            1           3           3
2024-07-19T15:18:27Z          75           3           72          0(0.06)       0(1)             0             0       139747        258048            1           3           3
2024-07-19T15:18:47Z          75           3           72          0(0.06)       0(1)             0             0       184580        258048            1           3           3
2024-07-19T15:19:07Z          75           3           72          0(0.06)       0(1)             0             0       215432        258048            1           3           3
2024-07-19T15:19:27Z          75           3           72          0(0.06)       0(1)             0             0       136826        258048            1           3           3
2024-07-19T15:19:47Z          75           3           72          0(0.06)       0(1)             0             0       191842        258048            1           3           3
2024-07-19T15:20:07Z          75           3           72          0(0.05)       0(1)             0             0       185205        258048            1           3           3
2024-07-19T15:20:27Z          75           3           72          0(0.05)       0(1)             0             0       161201        258048            1           3           3
2024-07-19T15:20:47Z          75           3           72          0(0.05)       0(1)             0             0       205291        258048            1           3           3
2024-07-19T15:21:07Z          75           3           72          0(0.05)       0(1)             0             0       169785        258048            1           3           3
