time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2024-07-19 15:08:07.592 UTC, ,125,3231093,2696,83896,1344, ,23, ,10132, , , , , , , , , ,23,23, , , , ,2,32, , , , , , , , , , , ,2, , , ,6435826,1218,1,573,573, , , , ,1266,381373321216,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1721401087533, , , , ,3145728,2962, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,7,7,209224576,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-07-19 15:09:07.593 UTC, ,125,3231093,2696,83896,1344, ,23, ,10068, , , , , , , , , ,23,23, , , , ,2,32, , , , , , , , , , , ,2, , , ,6435826,1218,1,573,573, , , , ,1266,381373902848,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1721401087533, , , , ,3145728,2962, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,7,17,139196864,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-07-19 15:10:07.594 UTC, ,125,3231093,2696,83896,1344, ,23, ,10082, , , , , , , , , ,23,23, , , , ,2,32, , , , , , , , , , , ,2, , , ,6435826,1218,1,573,573, , , , ,1266,381373386752,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1721401087533, , , , ,3145728,2962, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,7,8,166675072,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-07-19 15:11:07.595 UTC, ,125,3231093,2696,83896,1344, ,23, ,10118, , , , , , , , , ,23,23, , , , ,2,32, , , , , , , , , , , ,2, , , ,6435826,1218,1,573,573, , , , ,1266,381372919808,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1721401087533, , , , ,3145728,2962, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,7,13,173181664,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-07-19 15:12:07.596 UTC, ,125,3231093,2696,83896,1344, ,23, ,10132, , , , , , , , , ,23,23, , , , ,2,32, , , , , , , , , , , ,2, , , ,6435826,1218,1,573,573, , , , ,1266,381372579840,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1721401087533, , , , ,3145728,2962, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,7,15,168208008,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-07-19 15:13:07.598 UTC, ,125,3231093,2696,83896,1344, ,23, ,10062, , , , , , , , , ,23,23, , , , ,2,32, , , , , , , , , , , ,2, , , ,6435826,1218,1,573,573, , , , ,1266,381372026880,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1721401087533, , , , ,3145728,2962, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,7,11,166291248,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-07-19 15:14:07.599 UTC, ,125,3231093,2696,83896,1344, ,39, ,18627, , , , , , , , , ,39,35, , , ,3,3,46, ,1826, , , , , , , , , ,3, , , ,9758711,1218,1,573,573, , , , ,1266,381372592128,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1721401087533, , , , ,3145728,2962, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,16,78,156315360,1, , , , , , ,45, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,15, ,15, , , , , , 
2024-07-19 15:15:07.600 UTC, ,125,3231093,2696,83896,1344, ,43, ,16550, , , , , , , , , ,43,35, , , ,4,3,45, ,885, , , , , , , , , ,3, , , ,9833767,1218,1,573,573, , , , ,1266,381371592704,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1721401087533, , , , ,3145728,2962, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,13,96,220569360,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-07-19 15:16:07.601 UTC, ,125,3231093,2696,83896,1344, ,44, ,14707, , , , , , , , , ,44,35, , , ,5,3,44, ,138, , , , , , , , , ,3, , , ,9830063,1218,1,573,573, , , , ,1266,381370486784,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1721401087533, , , , ,3145728,2962, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,14,27,203144560,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-07-19 15:17:07.601 UTC, ,125,3231093,2696,83896,1344, ,47, ,14751, , , , , , , , , ,47,35, , , ,7,3,44, ,190, , , , , , , , , ,3, , , ,9854535,1218,1,573,573, , , , ,1266,381369614336,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1721401087533, , , , ,3145728,2962, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,15,37,193234240,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
