time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2024-07-19 14:57:20.855 UTC, ,125,3165877,1312,19800,224, ,4, ,13, , , , , , , , , ,4,4, , , , ,2,4, , , , , , , , , , , ,1, , , ,3165877,1218,1,573,573,1, ,2,4,1266,381377531904,-1,-1, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1721401040816, , , , ,3145728,1406, , , ,6,4,15,4,3,4, , ,3,5, , , , , , , ,38,1, , ,20480,3,1228,4, , , , , , ,30,196,89714960,1, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , ,1, , , , , , , 
2024-07-19 14:58:20.856 UTC, ,589,3204733,2696,57072,1344, ,22, ,4152, , , , , , , , , ,22,22, , , , ,3,29, ,472, , , , , , , , , ,2, , , ,6441042,1218,1,573,573, , , , ,4825,381376565248,44,44, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4825, ,1721401040816, , , , ,3145728,4785, , , ,4, ,25, ,2, , , ,3,8, , , , , , , , , , , ,12288,2,3559,8, , , , , , ,7,20,133045088,1, , , , , , ,1057, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,11, ,41,6,61,117,44,99, , , , , , 
2024-07-19 14:59:20.857 UTC, ,589,3204733,2696,57072,1344, ,23, ,2908, , , , , , , , , ,23,23, , , , ,2,32, ,34, , , , , , , , , ,2, , , ,6436834,1218,1,573,573, , , , ,4825,381375725568,44,44, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4825, ,1721401040816, , , , ,3145728,4785, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,7,38,166954048,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-07-19 15:00:20.860 UTC, ,589,3204733,2696,57072,1344, ,23, ,2836, , , , , , , , , ,23,23, , , , ,2,32, , , , , , , , , , , ,2, , , ,6435826,1218,1,573,573, , , , ,4825,381376233472,44,44, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4825, ,1721401040816, , , , ,3145728,4785, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,7,19,92534696,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-07-19 15:01:20.861 UTC, ,589,3204733,2696,57072,1344, ,23, ,2834, , , , , , , , , ,23,23, , , , ,2,32, , , , , , , , , , , ,2, , , ,6435826,1218,1,573,573, , , , ,4825,381375811584,44,44, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4825, ,1721401040816, , , , ,3145728,4785, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,6,11,206858880,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-07-19 15:02:20.862 UTC, ,589,3204733,2696,57072,1344, ,23, ,2832, , , , , , , , , ,23,23, , , , ,2,32, , , , , , , , , , , ,2, , , ,6435826,1218,1,573,573, , , , ,4825,381375361024,44,44, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4825, ,1721401040816, , , , ,3145728,4785, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,7,10,215514336,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-07-19 15:03:20.863 UTC, ,589,3204733,2696,57072,1344, ,23, ,2832, , , , , , , , , ,23,23, , , , ,2,32, , , , , , , , , , , ,2, , , ,6435826,1218,1,573,573, , , , ,4825,381374828544,44,44, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4825, ,1721401040816, , , , ,3145728,4785, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,8,14,179077968,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-07-19 15:04:20.864 UTC, ,589,3204733,2696,57072,1344, ,23, ,2846, , , , , , , , , ,23,23, , , , ,2,32, , , , , , , , , , , ,2, , , ,6435826,1218,1,573,573, , , , ,4825,381374455808,44,44, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4825, ,1721401040816, , , , ,3145728,4785, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , ,1,82,7,12,119339104,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-07-19 15:05:20.866 UTC, ,589,3204733,2696,57072,1344, ,23, ,2832, , , , , , , , , ,23,23, , , , ,2,32, , , , , , , , , , , ,2, , , ,6435826,1218,1,573,573, , , , ,4825,381374255104,44,44, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4825, ,1721401040816, , , , ,3145728,4785, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,7,7,132109856,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-07-19 15:06:20.867 UTC, ,589,3204733,2696,57072,1344, ,23, ,2832, , , , , , , , , ,23,23, , , , ,2,32, , , , , , , , , , , ,2, , , ,6435826,1218,1,573,573, , , , ,4825,381373919232,44,44, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4825, ,1721401040816, , , , ,3145728,4785, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,7,9,197310432,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
