[#urls] [#bytes] [host] [#robots] [#remaining] [#novel-urls] [#novel-bytes] [#dup-by-hash-urls] [#dup-by-hash-bytes] [#not-modified-urls] [#not-modified-bytes]
537 12934825 openstate.eu 0 0 537 12934825 0 0 0 0 
20 2983 dns: 0 0 20 2983 0 0 0 0 
4 8583 tagassistant.google.com 0 0 4 8583 0 0 0 0 
4 218239 www.googletagmanager.com 0 0 4 218239 0 0 0 0 
4 7661 www.w3.org 0 0 4 7661 0 0 0 0 
4 10993 www.youtube-nocookie.com 0 0 4 10993 0 0 0 0 
4 556832 www.youtube.com 0 0 4 556832 0 0 0 0 
3 193150 s.w.org 0 0 3 193150 0 0 0 0 
3 144679 s3.amazonaws.com 0 0 3 144679 0 0 0 0 
2 948 beta.documentcloud.org 0 0 2 948 0 0 0 0 
2 3610 cct.google 0 0 2 3610 0 0 0 0 
2 144386 developer.wordpress.org 0 0 2 144386 0 0 0 0 
2 6266 player.vimeo.com 0 0 2 6266 0 0 0 0 
2 3556 td.doubleclick.net 0 0 2 3556 0 0 0 0 
2 142250 wordpress.org 0 0 2 142250 0 0 0 0 
2 1761 www.documentcloud.org 0 0 2 1761 0 0 0 0 
2 54161 www.google-analytics.com 0 0 2 54161 0 0 0 0 
2 64660 www.google.com 0 0 2 64660 0 0 0 0 
1 817 pagead2.googlesyndication.com 2 0 1 817 0 0 0 0 
1 727 www.googleadservices.com 1 0 1 727 0 0 0 0 
1 4761 www.gstatic.com 3 0 1 4761 0 0 0 0 
