time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2024-07-19 15:13:33.845 UTC, ,125,3159725,952,13872, , ,26, ,2792, , , , , , , , , ,26,26, , , , ,3,37, , , , , , , , , , , ,3, , , ,9595551,1218,1,573,573,1, ,2,4,1266,381373243392,-1,-1, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1721402013807, , , , ,3145728,1218, , , ,3,4,12,4,3,4, , ,3,5, , , , , , , ,38,1, , ,20480,3,1228,4, , , , ,1,82,144,418,197958160,1, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-07-19 15:14:33.847 UTC, ,125,3337261,2696,190064,1344, ,40, ,5972, , , , , , , , , ,40,35, , , ,4,3,46, ,183, , , , , , , , , ,3, , , ,9773087,1218,1,573,573, , , , ,1266,381371879424,74,74, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1721402013807, , , , ,3145728,2996, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,19,99,181531536,1, , , , , , ,13161,1, , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,93, ,687,22,247,1980,144,1689, , , , , , 
2024-07-19 15:15:33.848 UTC, ,125,3398765,2696,251568,1344, ,44, ,5640, , , , , , , , , ,44,35, , , ,5,3,44, ,51, , , , , , , , , ,3, , , ,9834591,1218,1,573,573, , , , ,1266,381371252736,74,74, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1721402013807, , , , ,3145728,2996, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,14,84,143144936,2, , , , , , ,3275, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,22, ,368,76,65,952,5,842, , , , , , 
2024-07-19 15:16:33.849 UTC, ,125,3422045,2696,274848,1344, ,47, ,6089, , , , , , , , , ,47,35, , , ,7,3,44, ,270, , , , , , , , , ,3, , , ,9857871,1218,1,573,573, , , , ,1266,381370032128,74,74, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1721402013807, , , , ,3145728,2996, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,14,36,153465040,2, , , , , , ,2106, , , ,2, ,2, , , , , , , , , , , , , , , , , , , , , , ,33, ,115,22,91,525,16,372, , , , , , 
2024-07-19 15:17:33.850 UTC, ,125,3417621,2696,270424,1344, ,47, ,5672, , , , , , , , , ,47,35, , , ,7,3,44, ,74, , , , , , , , , ,3, , , ,9853447,1218,1,573,573, , , , ,1266,381369233408,74,74, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1721402013807, , , , ,3145728,2996, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,15,27,145215680,1, , , , , , ,573, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,18, ,6, ,74,256, ,126, , , , , , 
2024-07-19 15:18:33.851 UTC, ,125,3414421,2696,267224,1344, ,47, ,5663, , , , , , , , , ,47,35, , , ,7,3,44, ,70, , , , , , , , , ,3, , , ,9850247,1218,1,573,573, , , , ,1266,381368283136,74,74, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1721402013807, , , , ,3145728,2996, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,14,23,187677376,1, , , , , , ,631, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,19, ,16, ,73,273, ,145, , , , , , 
2024-07-19 15:19:33.853 UTC, ,125,3408685,2696,261488,1344, ,47, ,5642, , , , , , , , , ,47,35, , , ,7,3,44, ,62, , , , , , , , , ,3, , , ,9844511,1218,1,573,573, , , , ,1266,381367488512,74,74, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1721402013807, , , , ,3145728,2996, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,13,31,180902976,2, , , , , , ,562, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,18, , , ,75,255, ,124, , , , , , 
2024-07-19 15:20:33.853 UTC, ,125,3400925,2696,253728,1344, ,46, ,5634, , , , , , , , , ,46,35, , , ,7,3,44, ,50, , , , , , , , , ,3, , , ,9836751,1218,1,573,573, , , , ,1266,381366566912,74,74, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1721402013807, , , , ,3145728,2996, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,13,28,191931168,2, , , , , , ,497, , , ,1, ,1, , , , , , , , , , , , , , , , , , , , , , ,18, , , ,69,228, ,107, , , , , , 
2024-07-19 15:21:33.855 UTC, ,125,3396549,2696,249352,1344, ,46, ,5675, , , , , , , , , ,46,35, , , ,7,3,44, ,84, , , , , , , , , ,3, , , ,9832375,1218,1,573,573, , , , ,1266,381365760000,74,74, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1721402013807, , , , ,3145728,2996, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,14,27,219336112,1, , , , , , ,552, , , ,2, , , , , , , , , , , , , , , , , , , , , , , , ,18, ,6, ,72,248, ,122, , , , , , 
2024-07-19 15:22:33.856 UTC, ,125,3391925,2696,244728,1344, ,46, ,5642, , , , , , , , , ,46,35, , , ,7,3,44, ,66, , , , , , , , , ,3, , , ,9827751,1218,1,573,573, , , , ,1266,381365030912,74,74, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1721402013807, , , , ,3145728,2996, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,15,28,189438040,1, , , , , , ,516, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,18, , , ,72,237, ,111, , , , , , 
